"","Sex","Age","Married","Income","HoursWk","Race","USCitizen","HealthInsurance","Language"
"1",0,31,0,60,40,"white",1,1,1
"2",1,31,0,0.36,12,"black",1,1,0
"8",1,35,0,87,40,"white",1,1,1
"9",0,70,1,0,1,"white",1,1,0
"11",1,48,1,32,48,"white",1,0,0
"12",0,61,1,0,20,"white",1,0,0
"13",0,52,0,48,40,"white",1,1,0
"14",0,36,1,2,40,"white",1,1,0
"15",0,20,0,0.5,2,"white",1,1,0
"19",1,75,1,21.6,6,"white",1,1,0
"21",0,48,1,22,20,"white",1,1,0
"23",0,62,1,6.8,18,"white",1,1,0
"25",1,32,0,30,60,"white",1,1,0
"26",0,21,0,2.5,20,"white",1,1,0
"27",1,21,0,1.5,20,"white",1,1,0
"28",0,39,1,0,30,"white",1,1,1
"29",0,42,1,3,40,"white",1,0,1
"30",0,48,1,75,40,"white",1,1,0
"31",1,34,0,0,70,"white",1,0,0
"32",0,61,0,19,38,"white",1,1,0
"33",0,32,0,50,50,"white",1,1,1
"34",1,51,1,130,50,"white",1,1,0
"39",1,43,1,0,10,"asian",1,1,0
"42",1,37,1,47,40,"white",1,0,1
"44",1,33,0,1.5,15,"white",1,0,0
"45",0,70,1,11.4,17,"white",1,1,0
"46",1,27,0,15,30,"white",1,0,0
"47",1,66,1,13,20,"white",1,1,0
"48",0,48,0,31,40,"black",1,1,0
"51",1,56,1,140,50,"white",1,1,0
"55",1,36,1,1,40,"other",1,1,1
"59",0,23,0,10.5,40,"white",1,1,0
"60",0,68,0,17.1,40,"white",1,1,0
"63",0,26,1,45,40,"white",1,1,0
"64",0,30,0,1.1,40,"black",1,0,0
"65",0,29,0,17,40,"white",1,1,0
"66",1,37,1,15.1,30,"white",0,1,0
"68",0,49,0,47.9,40,"white",1,1,0
"69",1,55,1,0,40,"white",1,1,0
"71",1,43,0,50,40,"white",1,1,0
"72",1,21,0,1.5,30,"asian",1,0,1
"74",1,57,1,0.8,24,"white",1,1,0
"75",1,35,0,13,20,"white",1,1,1
"76",0,56,0,23,60,"white",1,1,0
"77",0,34,0,30.2,44,"white",1,1,0
"79",0,18,0,1,12,"white",1,1,0
"81",0,47,0,10,32,"white",1,1,0
"83",1,30,0,60,50,"white",1,1,0
"84",1,53,1,75,45,"white",1,0,0
"85",0,55,1,3.8,16,"white",1,1,0
"86",1,48,1,47,40,"other",1,1,1
"87",1,50,0,52,27,"white",1,0,0
"88",1,54,1,57,40,"white",1,1,0
"90",1,52,0,28.9,43,"white",1,1,0
"91",0,48,1,15,35,"black",1,1,0
"92",1,58,1,72,40,"asian",0,1,1
"93",0,43,1,6,40,"black",1,0,0
"97",1,28,0,14,25,"white",1,1,0
"100",0,25,0,38,48,"black",1,1,1
"101",1,25,0,0.56,7,"white",1,0,0
"102",0,45,0,4.9,35,"white",1,1,0
"103",0,62,1,15,20,"white",1,1,0
"104",0,46,1,4.1,30,"white",1,1,1
"105",0,41,1,50,50,"asian",1,1,1
"106",0,27,1,52,45,"white",1,1,0
"108",1,61,1,85,40,"white",1,1,0
"109",0,59,1,29.7,40,"white",1,1,0
"111",1,44,1,65,48,"white",1,1,0
"115",0,50,1,16,30,"white",1,1,0
"119",0,47,1,5.5,25,"white",1,1,0
"120",1,49,1,36,40,"asian",1,1,1
"121",1,25,0,7.8,35,"white",1,1,0
"126",0,22,0,17.5,35,"white",1,1,0
"129",1,41,1,563,62,"white",1,1,1
"134",0,42,1,14,20,"white",1,1,0
"135",1,42,1,25,50,"white",0,0,1
"138",0,20,0,2,25,"white",1,1,0
"139",0,60,0,47,35,"asian",1,1,1
"141",0,47,1,33,40,"white",1,1,0
"144",0,49,1,94,36,"white",1,1,0
"145",1,37,1,97,65,"white",1,1,1
"148",1,27,1,60,40,"white",1,1,0
"149",0,32,1,70,36,"white",1,1,0
"150",1,41,1,90,40,"asian",0,1,1
"151",1,41,1,60,40,"white",1,1,0
"152",1,46,0,60,48,"white",1,1,0
"153",0,36,1,20,20,"white",1,1,1
"154",1,42,1,80,60,"asian",0,1,1
"161",0,49,1,16,30,"asian",1,1,1
"163",1,29,1,0,40,"white",0,0,1
"164",1,64,1,33.3,40,"white",1,1,0
"165",0,45,1,382,55,"white",1,1,0
"167",1,51,0,90,50,"white",1,1,0
"169",1,53,1,40,32,"white",1,1,0
"170",0,50,1,45,40,"white",1,1,0
"173",0,41,0,55,40,"white",1,1,0
"174",0,52,1,70,40,"white",1,1,0
"176",0,38,1,24,40,"white",1,1,0
"180",1,33,0,40,24,"asian",1,0,1
"183",1,62,1,56,40,"white",1,1,0
"184",1,36,1,85,38,"white",1,1,0
"185",1,30,0,9,20,"black",1,0,0
"187",1,63,1,82,32,"asian",1,1,1
"188",1,35,1,62,70,"asian",1,1,1
"189",1,22,0,0.7,25,"white",1,1,0
"191",0,41,0,59,68,"black",1,1,0
"193",0,21,0,8,40,"white",1,1,0
"194",1,29,0,2,20,"asian",0,0,1
"197",1,31,0,22.1,45,"white",1,1,0
"198",1,40,1,30,45,"white",1,1,0
"199",0,45,0,25,40,"white",1,1,0
"201",0,19,0,2,25,"white",1,1,0
"203",0,41,0,31.2,40,"white",1,1,0
"204",0,26,1,51,45,"white",1,1,0
"209",1,30,1,16,20,"other",0,0,1
"212",0,37,1,28.9,40,"white",1,1,0
"214",0,46,1,0.8,23,"white",1,1,0
"217",0,28,0,105,50,"white",1,1,0
"218",0,56,1,27,40,"white",1,1,0
"219",0,47,1,10,8,"white",1,0,1
"223",0,34,1,36,40,"white",1,1,0
"227",1,32,1,40,40,"white",1,1,0
"228",0,64,1,83,40,"white",1,1,0
"229",1,79,1,3.6,60,"white",1,1,0
"231",0,36,1,20,40,"white",0,1,1
"234",1,52,0,72,36,"white",1,1,0
"235",0,59,0,0,17,"white",1,1,0
"237",0,34,1,0.4,40,"white",1,1,0
"238",0,56,1,0,10,"asian",0,0,1
"241",0,62,0,5.9,25,"other",1,0,0
"242",1,51,1,2,30,"asian",1,1,0
"244",1,51,1,80,40,"white",1,1,0
"245",1,69,1,0,40,"white",0,1,1
"246",1,58,1,22.4,40,"asian",1,1,1
"248",0,47,1,9,22,"white",1,1,0
"252",0,75,0,7.7,32,"black",1,1,0
"254",1,26,1,19,40,"white",1,0,0
"255",1,53,0,8,46,"white",1,0,0
"256",1,31,1,0.5,48,"white",1,1,0
"258",0,60,1,60,40,"white",1,1,0
"259",1,82,1,0.9,7,"white",1,1,0
"261",1,66,1,37,42,"white",0,1,1
"264",1,49,0,40,50,"white",1,0,0
"266",0,25,0,41,45,"asian",1,1,1
"267",0,20,0,14.4,40,"white",1,0,0
"271",1,29,0,30,40,"white",1,1,1
"274",1,72,1,67,80,"white",1,1,0
"275",1,52,1,115,40,"black",1,1,0
"276",0,55,0,55,40,"white",1,1,0
"278",1,76,1,5,40,"white",1,1,0
"280",1,61,1,20.2,55,"white",1,1,0
"281",1,25,0,7.7,40,"white",1,1,0
"284",0,67,1,15,30,"white",1,1,0
"288",1,64,1,15,30,"white",1,1,0
"290",1,46,1,0,40,"white",1,1,0
"293",1,44,0,0,20,"asian",1,0,0
"296",1,73,1,8,20,"white",1,1,0
"297",1,24,0,52,44,"white",1,1,0
"301",1,32,1,60,50,"white",1,1,0
"302",0,39,0,57,40,"black",1,1,0
"303",1,25,0,15,32,"white",1,0,0
"305",0,19,0,1.5,25,"white",1,1,0
"307",0,44,1,21,24,"white",1,1,0
"308",1,31,0,92,60,"black",1,1,0
"309",1,50,0,0,6,"white",1,1,0
"311",1,32,0,65,70,"white",1,1,0
"314",1,47,1,36,40,"white",1,1,0
"316",0,42,0,60,40,"black",1,1,0
"318",1,58,1,42,40,"white",1,1,1
"319",1,61,1,108,45,"white",1,1,0
"321",0,38,1,41,40,"white",1,1,0
"322",1,25,1,5,70,"white",1,1,0
"324",1,60,1,37,40,"white",1,1,0
"342",1,60,1,60,40,"white",1,1,0
"343",0,16,0,0.49,8,"white",1,1,0
"344",1,59,1,21.6,30,"white",1,1,0
"348",1,45,0,10,50,"black",1,1,0
"351",1,49,1,50,37,"black",1,1,0
"353",0,27,0,2,40,"asian",1,1,1
"354",1,49,1,56,40,"white",1,1,0
"355",1,56,1,80,40,"asian",1,1,1
"356",1,28,0,28,37,"asian",1,1,1
"358",1,54,1,46,40,"asian",1,1,1
"359",0,59,0,16,40,"white",1,0,0
"360",0,62,0,0,1,"white",1,1,0
"361",0,19,0,2.1,8,"white",1,1,0
"362",0,22,0,1.9,16,"white",1,1,0
"366",0,38,1,46,44,"white",1,1,0
"367",0,41,1,24.7,24,"black",1,1,0
"369",1,35,1,0,40,"white",1,1,0
"370",1,32,0,40,40,"white",0,1,1
"373",0,27,0,14.4,30,"white",1,1,0
"374",0,53,1,29,40,"white",1,1,0
"375",0,38,0,32,40,"white",1,1,0
"377",0,74,0,5,10,"white",1,1,0
"378",1,40,1,52,40,"white",1,1,0
"381",0,24,0,10,35,"white",1,0,1
"382",0,50,0,13.1,50,"white",1,1,0
"384",1,63,1,19.3,15,"white",1,1,0
"385",0,26,1,9,20,"white",1,1,0
"386",0,20,0,17,35,"white",1,0,0
"387",1,54,1,60,40,"white",1,1,0
"390",0,23,0,1.8,40,"white",1,1,0
"393",0,47,1,11,30,"white",1,1,0
"395",1,51,1,47,40,"black",1,1,0
"397",1,23,0,5.3,35,"white",1,1,0
"401",1,18,0,0.3,4,"white",1,1,1
"402",0,59,0,18,40,"other",1,1,1
"409",1,63,1,69,80,"white",1,1,0
"411",0,58,1,65,55,"white",1,1,0
"413",0,53,1,110,55,"white",1,1,0
"414",1,25,0,27,40,"black",1,0,0
"416",0,47,0,35.3,38,"white",1,1,0
"419",1,20,0,0.7,20,"white",1,0,0
"422",1,32,1,0,99,"white",1,0,1
"425",1,40,0,318,40,"white",1,1,0
"427",0,25,0,23,25,"white",1,1,0
"434",0,31,1,22,30,"white",1,1,0
"437",1,39,1,48,40,"white",1,1,0
"438",1,45,1,0.78,20,"white",1,1,0
"441",0,56,1,0,10,"white",1,1,0
"444",0,38,1,7,17,"white",1,0,1
"445",0,42,1,32,24,"white",1,1,0
"449",1,62,1,19.2,8,"white",1,1,0
"450",1,41,0,0,40,"white",0,0,1
"451",0,21,0,3.8,25,"white",1,1,0
"453",1,25,0,40,40,"other",1,1,1
"454",0,28,0,18,36,"black",0,0,0
"457",1,48,0,24,40,"other",1,0,1
"460",1,50,1,41.7,40,"white",1,1,1
"462",1,54,1,35,43,"white",1,1,0
"463",0,29,1,0,20,"other",1,0,0
"468",0,59,0,48.3,40,"white",1,1,0
"474",0,28,1,36,40,"white",1,1,0
"476",0,57,1,27,40,"white",1,1,0
"479",1,47,0,10.3,27,"white",1,1,0
"480",0,53,0,5,40,"white",1,0,0
"481",0,54,0,54,39,"white",1,1,0
"482",1,61,1,22.5,40,"white",1,1,0
"484",0,59,1,16.5,40,"white",1,1,0
"485",1,27,0,45,40,"white",1,1,0
"488",0,67,0,0,6,"white",1,1,0
"489",1,37,0,29,40,"white",1,1,0
"492",1,63,1,67,46,"white",1,1,0
"494",0,55,0,32,40,"white",1,1,0
"495",0,20,0,0.5,20,"white",1,1,0
"499",0,16,0,0.1,2,"white",1,1,1
"504",1,53,0,2,16,"white",1,1,0
"505",1,22,1,15,42,"asian",1,1,0
"508",1,28,1,35,40,"white",1,1,0
"510",0,36,1,0.54,30,"black",1,1,1
"512",1,24,0,2,10,"white",1,1,0
"516",1,18,0,3.7,32,"white",1,1,0
"520",1,51,1,78,40,"white",1,1,0
"521",0,18,0,0.7,15,"white",1,1,0
"523",1,46,0,25,55,"white",1,1,1
"524",1,39,1,80,40,"white",1,1,0
"525",1,63,1,18.2,40,"black",1,1,0
"526",0,46,1,40,56,"other",1,1,1
"527",1,45,1,45.7,40,"asian",0,1,1
"529",0,40,1,1.9,20,"white",1,0,0
"530",0,59,0,8,24,"white",1,1,0
"531",0,30,1,5,48,"white",0,1,1
"535",1,40,1,21.1,40,"white",1,1,0
"536",1,29,0,47,75,"asian",1,1,0
"541",0,29,1,32,40,"white",1,1,0
"543",1,45,1,50,40,"white",1,1,0
"546",1,35,0,16,60,"white",1,0,0
"551",0,41,0,25,65,"white",1,1,0
"553",1,24,0,5.6,10,"white",1,1,0
"556",1,57,1,27,40,"white",1,1,0
"557",1,43,1,40,40,"white",0,1,1
"558",1,40,1,42,40,"white",1,1,0
"559",1,48,1,330,65,"white",1,1,0
"560",1,43,1,52,40,"other",1,1,1
"561",1,32,1,45,50,"white",1,1,0
"564",1,62,0,35,32,"asian",1,1,1
"567",0,59,0,0,60,"white",1,0,0
"568",1,46,1,50,40,"white",1,1,0
"569",1,32,1,70,40,"asian",1,1,1
"571",0,27,0,36,45,"white",1,1,0
"573",0,21,0,6,30,"white",1,1,0
"575",0,21,1,19,38,"white",1,1,0
"579",0,26,0,0,10,"white",1,1,1
"580",1,61,1,25,50,"white",1,1,0
"581",0,19,0,7,20,"white",1,1,0
"584",1,38,0,22,60,"asian",1,1,0
"585",1,58,1,18,40,"white",1,1,0
"587",0,27,1,0,40,"white",0,0,1
"590",0,49,1,22.7,36,"white",1,1,0
"592",0,41,1,110,40,"black",1,1,0
"593",1,53,0,26,40,"white",1,1,0
"594",1,49,0,32,40,"white",1,1,0
"595",0,20,0,3.5,15,"white",1,1,0
"598",1,33,0,125,40,"white",1,1,1
"602",1,44,1,96,40,"white",1,1,1
"603",0,50,0,40,99,"white",1,0,0
"606",1,38,1,80,40,"white",1,1,0
"608",0,55,1,6,40,"white",1,1,0
"609",1,49,1,45.6,35,"white",1,1,0
"613",0,52,1,16,15,"white",1,1,1
"614",0,37,1,13,40,"white",1,1,1
"615",1,58,1,36,40,"white",1,1,0
"618",0,66,1,48,40,"white",1,1,0
"619",0,53,1,55,40,"asian",1,1,1
"622",1,24,0,48,48,"other",1,1,1
"624",1,35,1,40,40,"white",1,0,0
"625",0,25,1,40,40,"white",1,1,0
"626",1,36,1,80,80,"other",1,1,0
"628",0,68,0,13,24,"white",1,1,0
"631",0,47,1,23.6,40,"white",1,1,0
"632",0,25,0,26.9,40,"white",1,1,0
"633",0,48,1,8.5,40,"white",1,1,0
"634",0,63,1,26,40,"asian",1,1,1
"640",0,25,0,15,60,"asian",1,1,1
"641",1,64,0,20,40,"white",1,1,0
"642",0,61,1,0,30,"white",1,0,0
"643",1,21,0,25,24,"asian",1,1,1
"644",0,29,0,40,40,"white",1,1,0
"647",0,53,0,176,50,"white",1,1,0
"648",0,19,0,6.6,15,"black",1,1,0
"649",0,19,0,9.6,32,"white",1,1,0
"650",1,53,1,5,16,"asian",1,0,1
"652",1,49,1,294,80,"white",1,1,0
"654",1,65,1,15,40,"other",0,1,1
"656",0,41,1,12.5,25,"white",1,1,1
"657",1,53,1,83,40,"black",1,1,0
"659",0,67,1,10,40,"white",1,1,0
"660",0,65,0,28,40,"white",1,1,0
"662",1,48,0,24,30,"asian",1,1,0
"663",0,64,0,40,40,"white",1,1,0
"666",1,37,0,1.5,25,"white",1,1,0
"669",0,41,1,0.85,5,"white",1,1,0
"670",1,41,1,55,40,"white",1,1,0
"671",0,18,0,5,37,"white",1,1,1
"673",0,39,1,76,42,"white",1,1,0
"677",1,27,1,45,40,"white",1,1,0
"678",0,37,1,97,40,"asian",1,1,1
"679",1,38,1,6,60,"white",1,1,0
"680",1,23,0,17.5,40,"white",1,1,0
"681",0,56,1,32,45,"white",1,1,0
"682",0,56,1,3.2,20,"white",1,0,0
"683",0,49,1,30,32,"white",1,1,0
"686",0,38,1,20,30,"white",0,1,1
"687",1,42,1,27,60,"white",1,1,0
"690",0,27,1,12,40,"white",0,0,1
"692",1,27,1,24,40,"other",1,1,1
"693",1,49,1,93,40,"white",1,1,0
"694",0,41,0,18.5,40,"black",1,1,0
"697",1,66,1,38.8,40,"white",1,1,0
"699",0,24,0,18.7,40,"white",1,0,0
"700",0,22,0,5.8,30,"white",1,1,0
"704",1,49,1,71,40,"white",1,1,0
"708",0,25,0,10.8,30,"black",1,1,0
"710",1,52,1,0,60,"black",1,1,0
"711",0,48,1,70,55,"white",1,1,0
"716",0,47,1,110,48,"white",1,1,0
"717",0,21,1,17,45,"black",1,1,0
"718",0,27,1,28,32,"other",1,0,1
"719",0,20,0,0.45,25,"white",1,1,0
"720",0,27,1,40,40,"asian",1,1,1
"721",1,49,1,24,45,"white",0,1,1
"722",0,45,0,2,23,"white",1,0,0
"723",1,18,0,0.96,16,"white",1,1,0
"725",1,20,0,12,22,"white",1,1,1
"726",0,47,1,12,40,"white",1,1,0
"727",0,32,1,40,45,"white",1,1,0
"730",1,49,1,50,40,"white",1,1,0
"732",0,18,0,17.5,32,"white",1,1,0
"736",0,26,0,95,60,"white",1,1,0
"737",1,44,0,75,40,"white",1,1,0
"738",1,44,1,1.8,20,"white",1,0,0
"739",1,43,1,50,40,"white",1,1,0
"740",1,63,0,72,44,"white",1,1,0
"744",1,40,1,30,60,"white",1,1,0
"745",1,74,1,4.6,25,"white",1,1,0
"746",0,53,1,7.2,24,"white",1,1,0
"748",0,34,1,0,40,"white",1,1,0
"749",1,57,1,60,40,"white",1,1,0
"751",1,66,1,84,32,"white",1,1,0
"755",1,36,1,15,40,"black",0,0,1
"760",0,43,0,72,50,"white",1,1,0
"764",0,74,0,1,10,"white",1,1,0
"766",1,62,1,48,40,"white",1,1,0
"767",0,19,0,6,40,"white",1,1,0
"768",0,49,1,28.6,28,"white",1,0,0
"771",0,36,0,18,20,"white",1,1,0
"774",0,43,1,55,40,"white",1,1,1
"778",1,31,1,200,40,"asian",0,1,0
"780",1,21,0,26,40,"white",1,1,0
"781",1,40,0,45,40,"white",1,1,0
"783",1,64,0,30,42,"white",1,1,0
"786",0,59,1,30,40,"asian",1,1,0
"787",1,56,1,2.8,18,"white",1,1,0
"788",0,32,0,12,40,"white",1,0,0
"793",1,58,1,175,50,"white",1,1,0
"794",0,58,0,18,29,"white",1,0,0
"795",0,51,0,0,40,"white",1,1,0
"797",1,66,0,25,50,"other",1,1,1
"798",0,50,1,40,40,"black",1,1,1
"800",1,30,0,48.8,60,"white",1,0,0
"801",0,50,1,10,40,"white",1,0,0
"803",1,59,0,24,40,"other",1,1,0
"804",0,48,1,68,40,"black",0,1,1
"805",0,54,0,1.1,4,"white",1,1,0
"806",0,29,1,48,40,"white",1,1,0
"807",0,28,1,0,12,"white",1,1,0
"810",1,16,0,0.5,12,"white",1,1,0
"812",1,43,0,382,50,"white",1,1,0
"813",1,38,0,60,45,"other",1,1,1
"816",0,58,1,17,30,"white",1,1,0
"818",1,17,0,10.8,30,"white",1,1,0
"819",1,33,1,53,45,"white",1,1,0
"821",0,41,0,29,40,"white",1,1,0
"822",0,34,1,68,41,"white",1,1,0
"823",1,41,0,16,40,"other",1,1,0
"824",1,36,1,102,15,"white",1,1,0
"826",0,61,0,80,40,"black",1,1,0
"828",0,38,0,7.5,39,"white",1,1,0
"829",0,54,1,3,13,"white",1,1,0
"830",0,24,0,36,41,"white",1,1,0
"831",1,20,0,10,30,"other",1,0,1
"833",0,49,1,40,40,"white",1,1,0
"835",0,54,0,85,40,"white",1,1,0
"836",0,42,1,10,25,"white",1,1,0
"837",0,31,1,75,60,"white",0,1,0
"842",0,24,0,9.5,20,"white",1,1,0
"850",0,40,0,45,40,"white",0,0,1
"851",0,26,1,28,80,"white",1,1,0
"853",0,54,1,12,24,"white",1,1,0
"854",0,22,0,12,40,"white",1,1,0
"855",1,53,1,86,40,"black",1,1,0
"857",0,48,1,27.5,40,"white",1,1,0
"858",1,43,1,100,45,"white",1,1,0
"860",1,58,1,70,40,"white",1,1,0
"863",1,66,1,24.5,15,"white",1,1,0
"865",0,74,0,13,35,"black",1,1,0
"866",1,38,1,0,60,"white",1,1,0
"869",0,61,1,108,40,"white",1,1,0
"871",0,38,1,17.7,30,"other",0,0,1
"873",1,21,1,2.5,30,"white",1,0,0
"874",1,26,0,0,60,"white",1,0,0
"877",0,36,1,97,40,"white",1,1,0
"878",0,28,0,80,45,"white",1,1,0
"880",0,24,0,24,40,"other",1,1,1
"881",1,56,0,1.2,40,"black",1,0,0
"883",0,32,0,14.4,23,"black",1,0,0
"884",1,22,1,8.4,40,"white",1,1,0
"885",0,57,0,84,40,"white",1,1,0
"886",1,45,1,24,40,"white",1,1,0
"888",1,43,1,18.7,40,"white",0,1,1
"889",0,42,1,4,10,"white",1,1,0
"891",0,41,0,4.7,40,"other",1,1,0
"892",1,45,1,24,40,"white",1,1,0
"893",0,50,1,20.9,40,"white",0,1,1
"894",0,42,0,65,40,"white",1,1,0
"897",0,66,1,17.4,22,"white",1,1,0
"898",0,19,0,3.6,15,"asian",1,1,0
"900",0,50,1,19.5,32,"white",1,1,0
"902",0,37,1,51,40,"asian",1,1,1
"903",1,40,1,50,40,"white",1,1,0
"904",0,53,1,12,40,"white",1,1,0
"906",0,33,0,38,40,"white",1,1,0
"907",1,61,1,46,45,"white",1,1,0
"909",0,50,0,54,40,"white",1,1,0
"910",1,44,1,12,60,"asian",0,0,1
"912",1,29,1,66,53,"white",1,1,0
"917",1,17,0,2,32,"white",1,1,0
"918",0,56,1,10.6,25,"white",1,1,0
"920",0,22,0,20,40,"white",1,1,0
"921",0,45,0,77,60,"white",1,1,0
"922",0,54,1,40,36,"asian",1,0,1
"924",1,43,1,35,50,"white",1,1,0
"925",1,27,0,160,50,"white",1,1,0
"928",0,43,0,36,40,"white",1,1,0
"932",1,24,0,20,20,"white",1,1,0
"933",1,37,0,103,40,"white",1,1,1
"940",0,51,0,23,25,"white",1,1,0
"947",0,45,0,25,40,"white",1,1,0
"948",0,46,1,98,40,"white",1,1,0
"952",1,60,1,0,84,"white",1,1,0
"954",1,60,0,0,20,"white",1,1,0
"956",1,21,0,25,40,"white",1,1,0
"960",1,18,0,3.8,40,"white",1,1,0
"966",1,35,0,70,50,"white",1,0,0
"971",0,38,1,18,24,"white",1,1,0
"974",1,68,1,15.6,40,"white",0,1,1
"976",1,30,0,25,40,"other",0,0,1
"977",0,20,0,1,15,"white",1,0,1
"979",1,53,0,49.4,60,"white",1,1,0
"981",0,51,1,22,40,"white",1,1,0
"983",0,46,0,33,40,"white",1,1,0
"984",1,50,0,21.9,40,"white",1,1,0
"985",0,45,0,42,32,"white",1,1,0
"986",1,35,0,70,72,"white",1,1,0
"987",0,50,1,6,40,"white",1,0,0
"990",1,30,0,74,37,"white",1,0,0
"992",1,35,0,111,40,"asian",1,1,0
"993",1,49,1,120,56,"white",1,1,0
"994",0,50,1,32,40,"white",1,1,0
"995",0,30,0,20,13,"white",1,0,1
"996",0,30,1,23.7,30,"white",0,0,1
"997",0,30,0,30,30,"black",1,1,0
"998",1,39,1,15,38,"white",1,0,0
"1000",0,20,0,3.2,24,"white",1,0,0
